epoch,train_loss,train_acc,val_loss,val_acc
1,3.043990058711931,0.3353921568627451,1.502382434739007,0.6405555555555555
2,1.8083002893597473,0.5616666666666666,1.0518527769049009,0.7188888888888889
3,1.5275314246906955,0.6194117647058823,0.9536056758297814,0.7277777777777777
4,1.403998742197074,0.6417647058823529,0.888936748570866,0.7416666666666667
5,1.278049676839043,0.668235294117647,0.8453875160217286,0.7511111111111111
6,1.2389056107109668,0.6794117647058824,0.7875549766421318,0.765
7,1.1553925670361986,0.7003921568627451,0.80262155416939,0.7633333333333333
8,1.1139688227223414,0.7122549019607843,0.7628225971923934,0.7705555555555555
9,1.082998445595012,0.7183333333333334,0.7743479112121794,0.76
10,1.0342482396668078,0.7244117647058823,0.7890037505328655,0.7638888888888888
11,1.0167781046325086,0.7363725490196078,0.79800339344475,0.7666666666666667
12,0.9903791389278337,0.743921568627451,0.7593034294578764,0.7672222222222222
13,0.9518644662464366,0.7512745098039215,0.7492338063567877,0.7677777777777778
14,0.9516111279001424,0.7529411764705882,0.7570426047179434,0.7677777777777778
15,0.9231248433917176,0.7571568627450981,0.756556697289149,0.7711111111111111
