experiment,split,temperature,ece,bin_low,bin_high,n,confidence,accuracy
convnext_t_probe,val,1.0,0.028555280798011385,0.13333333333333333,0.2,1,0.16952151,0.0
convnext_t_probe,val,1.0,0.028555280798011385,0.26666666666666666,0.3333333333333333,1,0.32661575,1.0
convnext_t_probe,val,1.0,0.028555280798011385,0.3333333333333333,0.4,8,0.35915688,0.5
convnext_t_probe,val,1.0,0.028555280798011385,0.4,0.4666666666666667,16,0.4346651,0.3125
convnext_t_probe,val,1.0,0.028555280798011385,0.4666666666666667,0.5333333333333333,37,0.506629,0.5405405405405406
convnext_t_probe,val,1.0,0.028555280798011385,0.5333333333333333,0.6,43,0.56799006,0.5581395348837209
convnext_t_probe,val,1.0,0.028555280798011385,0.6,0.6666666666666666,44,0.6332597,0.5227272727272727
convnext_t_probe,val,1.0,0.028555280798011385,0.6666666666666666,0.7333333333333333,57,0.7041012,0.7017543859649122
convnext_t_probe,val,1.0,0.028555280798011385,0.7333333333333333,0.8,46,0.763554,0.717391304347826
convnext_t_probe,val,1.0,0.028555280798011385,0.8,0.8666666666666667,68,0.83272684,0.7794117647058824
convnext_t_probe,val,1.0,0.028555280798011385,0.8666666666666667,0.9333333333333333,109,0.9040566,0.8440366972477065
convnext_t_probe,val,1.0,0.028555280798011385,0.9333333333333333,1.0,1370,0.9908822,0.9700729927007299
convnext_t_probe,val,1.2100411144302388,0.016322628272076485,0.06666666666666667,0.13333333333333333,1,0.12373104,0.0
convnext_t_probe,val,1.2100411144302388,0.016322628272076485,0.26666666666666666,0.3333333333333333,8,0.30625546,0.625
convnext_t_probe,val,1.2100411144302388,0.016322628272076485,0.3333333333333333,0.4,16,0.37305158,0.3125
convnext_t_probe,val,1.2100411144302388,0.016322628272076485,0.4,0.4666666666666667,16,0.43515858,0.4375
convnext_t_probe,val,1.2100411144302388,0.016322628272076485,0.4666666666666667,0.5333333333333333,54,0.5038566,0.5555555555555556
convnext_t_probe,val,1.2100411144302388,0.016322628272076485,0.5333333333333333,0.6,51,0.5685349,0.5294117647058824
convnext_t_probe,val,1.2100411144302388,0.016322628272076485,0.6,0.6666666666666666,62,0.63550395,0.6935483870967742
convnext_t_probe,val,1.2100411144302388,0.016322628272076485,0.6666666666666666,0.7333333333333333,50,0.70044464,0.74
convnext_t_probe,val,1.2100411144302388,0.016322628272076485,0.7333333333333333,0.8,63,0.76625115,0.7301587301587301
convnext_t_probe,val,1.2100411144302388,0.016322628272076485,0.8,0.8666666666666667,89,0.8353107,0.8651685393258427
convnext_t_probe,val,1.2100411144302388,0.016322628272076485,0.8666666666666667,0.9333333333333333,157,0.9040607,0.89171974522293
convnext_t_probe,val,1.2100411144302388,0.016322628272076485,0.9333333333333333,1.0,1233,0.98578143,0.9789132197891321
convnext_t_probe,test,1.0,0.03117734555215826,0.13333333333333333,0.2,1,0.1754716,1.0
convnext_t_probe,test,1.0,0.03117734555215826,0.2,0.26666666666666666,3,0.24060787,0.3333333333333333
convnext_t_probe,test,1.0,0.03117734555215826,0.26666666666666666,0.3333333333333333,12,0.30087945,0.3333333333333333
convnext_t_probe,test,1.0,0.03117734555215826,0.3333333333333333,0.4,32,0.365445,0.40625
convnext_t_probe,test,1.0,0.03117734555215826,0.4,0.4666666666666667,69,0.43150473,0.37681159420289856
convnext_t_probe,test,1.0,0.03117734555215826,0.4666666666666667,0.5333333333333333,147,0.5058219,0.41496598639455784
convnext_t_probe,test,1.0,0.03117734555215826,0.5333333333333333,0.6,191,0.568572,0.5078534031413613
convnext_t_probe,test,1.0,0.03117734555215826,0.6,0.6666666666666666,185,0.6317805,0.6
convnext_t_probe,test,1.0,0.03117734555215826,0.6666666666666666,0.7333333333333333,218,0.6993356,0.6376146788990825
convnext_t_probe,test,1.0,0.03117734555215826,0.7333333333333333,0.8,248,0.76657206,0.6733870967741935
convnext_t_probe,test,1.0,0.03117734555215826,0.8,0.8666666666666667,365,0.83438504,0.7424657534246575
convnext_t_probe,test,1.0,0.03117734555215826,0.8666666666666667,0.9333333333333333,593,0.90498114,0.8077571669477235
convnext_t_probe,test,1.0,0.03117734555215826,0.9333333333333333,1.0,6516,0.99038184,0.9746777163904236
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.06666666666666667,0.13333333333333333,1,0.13120006,1.0
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.13333333333333333,0.2,2,0.18954407,0.5
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.2,0.26666666666666666,9,0.23803282,0.2222222222222222
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.26666666666666666,0.3333333333333333,31,0.30620182,0.5161290322580645
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.3333333333333333,0.4,55,0.37137124,0.34545454545454546
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.4,0.4666666666666667,95,0.4382514,0.4421052631578947
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.4666666666666667,0.5333333333333333,204,0.5043012,0.47058823529411764
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.5333333333333333,0.6,236,0.5661879,0.5508474576271186
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.6,0.6666666666666666,226,0.6328698,0.668141592920354
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.6666666666666666,0.7333333333333333,270,0.70162773,0.6666666666666666
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.7333333333333333,0.8,337,0.7667327,0.7507418397626113
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.8,0.8666666666666667,476,0.8354921,0.7983193277310925
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.8666666666666667,0.9333333333333333,824,0.90412563,0.8762135922330098
convnext_t_probe,test,1.2100411144302388,0.009826730985394137,0.9333333333333333,1.0,5814,0.9851409,0.9852081183350533
