epoch,train_loss,train_acc,val_loss,val_acc
1,2.032825773557027,0.48637254901960786,0.9761846560902065,0.6911111111111111
2,1.1043976746353448,0.6902941176470588,0.7889037373496427,0.7516666666666667
3,0.9924083455403646,0.7168627450980393,0.795738080739975,0.7483333333333333
4,0.8273807915051778,0.758235294117647,0.7153399558199777,0.7933333333333333
5,0.7568923271403594,0.7861764705882353,0.7755237511793772,0.7727777777777778
6,0.6776473824650634,0.8072549019607843,0.7638520044750637,0.7722222222222223
7,0.6352223446322423,0.8229411764705883,0.782836392439074,0.7666666666666667
8,0.5764519459126043,0.8406862745098039,0.8156035372945998,0.7622222222222222
9,0.5401949212364122,0.8532352941176471,0.8297906227078703,0.7688888888888888
10,0.5145811401862724,0.8536274509803922,0.9062933656449119,0.7494444444444445
11,0.48819295472958507,0.8622549019607844,0.8629332220554352,0.7688888888888888
12,0.4793084890234704,0.8682352941176471,0.9182360519303215,0.7522222222222222
13,0.4580952956162247,0.8772549019607843,0.8799236461520195,0.7772222222222223
14,0.4275699590935427,0.8846078431372549,0.9072691561778387,0.7588888888888888
15,0.42837226241242654,0.8795098039215686,0.9596092328553398,0.75
