epoch,train_loss,train_acc,val_loss,val_acc
1,3.6634617128342297,0.3986415882967607,2.297648408956695,0.799890350877193
2,2.288562304173891,0.6302246603970741,1.304113627525798,0.831140350877193
3,1.7357633586587577,0.6714668234064786,0.9083091459776226,0.8558114035087719
4,1.506658480272024,0.6878265412748171,0.7493761024977031,0.8536184210526315
5,1.3863358542463249,0.6954676071055381,0.6202576220558401,0.8689692982456141
6,1.2622999457356325,0.716692789968652,0.5784977967278999,0.8651315789473685
7,1.2169464862085062,0.7173132183908045,0.4902058230680332,0.868421052631579
8,1.1976869724760981,0.7188806165099269,0.4949073669941802,0.8739035087719298
9,1.134131796214274,0.7340974399164054,0.4826184522948767,0.8766447368421053
10,1.0731634598540662,0.74542842215256,0.46651077466575724,0.8744517543859649
11,1.0376384835631869,0.7491836468129572,0.458821254079802,0.8728070175438597
12,1.0405819182485623,0.7460161964472309,0.4083203206721105,0.8832236842105263
13,1.0137269015783053,0.749314263322884,0.43644611668168454,0.8788377192982456
14,0.9936857761634181,0.7580655694879832,0.4265797070897462,0.8782894736842105
15,0.9663275690474854,0.7596003134796239,0.4423173105899702,0.8722587719298246
