epoch,train_loss,train_acc,val_loss,val_acc
1,3.4729498397602754,0.2447058823529412,1.4359713872273763,0.6494444444444445
2,1.6162113336488313,0.5901960784313726,0.8503118391003873,0.7538888888888889
3,1.2342302589790495,0.6741176470588235,0.7181172491113345,0.7833333333333333
4,1.0559765674553665,0.7158823529411765,0.6476147471285528,0.7905555555555556
5,0.940190632390041,0.7471568627450981,0.6178181852565872,0.8016666666666666
6,0.870752818070206,0.763921568627451,0.6139116870860258,0.8077777777777778
7,0.8002359901222528,0.7855882352941177,0.5991097919063436,0.8127777777777778
8,0.7416219928685357,0.7997058823529412,0.5833029305438201,0.8083333333333333
9,0.7090366094252643,0.8084313725490196,0.5884270910753144,0.8144444444444444
10,0.6446794266326755,0.8346078431372549,0.5901510774178638,0.8105555555555556
11,0.6336248593704373,0.8359803921568627,0.5849690479950772,0.8166666666666667
12,0.6055221713290495,0.8446078431372549,0.5917981102565925,0.8127777777777778
13,0.5515658945897046,0.8555882352941176,0.5969434515945613,0.8177777777777778
14,0.5539628012507569,0.855,0.6186642672287094,0.8083333333333333
15,0.5363457090714399,0.864313725490196,0.6082780934621891,0.8138888888888889
