experiment,split,temperature,ece,bin_low,bin_high,n,confidence,accuracy
imagenet_head,val,1.0,0.05097214481068982,0.0,0.06666666666666667,1,0.0584262,0.0
imagenet_head,val,1.0,0.05097214481068982,0.2,0.26666666666666666,3,0.24174537,0.3333333333333333
imagenet_head,val,1.0,0.05097214481068982,0.26666666666666666,0.3333333333333333,6,0.31456736,0.5
imagenet_head,val,1.0,0.05097214481068982,0.3333333333333333,0.4,15,0.3644725,0.6
imagenet_head,val,1.0,0.05097214481068982,0.4,0.4666666666666667,32,0.43885046,0.5
imagenet_head,val,1.0,0.05097214481068982,0.4666666666666667,0.5333333333333333,49,0.5011448,0.6326530612244898
imagenet_head,val,1.0,0.05097214481068982,0.5333333333333333,0.6,59,0.5647386,0.6271186440677966
imagenet_head,val,1.0,0.05097214481068982,0.6,0.6666666666666666,67,0.6326046,0.7761194029850746
imagenet_head,val,1.0,0.05097214481068982,0.6666666666666666,0.7333333333333333,64,0.6981734,0.75
imagenet_head,val,1.0,0.05097214481068982,0.7333333333333333,0.8,85,0.7702259,0.8352941176470589
imagenet_head,val,1.0,0.05097214481068982,0.8,0.8666666666666667,130,0.8350561,0.9230769230769231
imagenet_head,val,1.0,0.05097214481068982,0.8666666666666667,0.9333333333333333,279,0.9046549,0.974910394265233
imagenet_head,val,1.0,0.05097214481068982,0.9333333333333333,1.0,1010,0.96912587,0.994059405940594
imagenet_head,val,0.7572732742105879,0.01218160397062697,0.06666666666666667,0.13333333333333333,1,0.09573015,0.0
imagenet_head,val,0.7572732742105879,0.01218160397062697,0.26666666666666666,0.3333333333333333,3,0.2952228,0.3333333333333333
imagenet_head,val,0.7572732742105879,0.01218160397062697,0.3333333333333333,0.4,6,0.3724983,0.5
imagenet_head,val,0.7572732742105879,0.01218160397062697,0.4,0.4666666666666667,10,0.43198222,0.5
imagenet_head,val,0.7572732742105879,0.01218160397062697,0.4666666666666667,0.5333333333333333,39,0.5029607,0.6153846153846154
imagenet_head,val,0.7572732742105879,0.01218160397062697,0.5333333333333333,0.6,40,0.56623966,0.5
imagenet_head,val,0.7572732742105879,0.01218160397062697,0.6,0.6666666666666666,51,0.63720995,0.6666666666666666
imagenet_head,val,0.7572732742105879,0.01218160397062697,0.6666666666666666,0.7333333333333333,44,0.70255584,0.7727272727272727
imagenet_head,val,0.7572732742105879,0.01218160397062697,0.7333333333333333,0.8,67,0.76792955,0.6865671641791045
imagenet_head,val,0.7572732742105879,0.01218160397062697,0.8,0.8666666666666667,66,0.837121,0.803030303030303
imagenet_head,val,0.7572732742105879,0.01218160397062697,0.8666666666666667,0.9333333333333333,132,0.9031974,0.9015151515151515
imagenet_head,val,0.7572732742105879,0.01218160397062697,0.9333333333333333,1.0,1341,0.98752844,0.9880686055182699
imagenet_head,test,1.0,0.05714496011153246,0.13333333333333333,0.2,4,0.1656886,0.5
imagenet_head,test,1.0,0.05714496011153246,0.2,0.26666666666666666,14,0.2408594,0.14285714285714285
imagenet_head,test,1.0,0.05714496011153246,0.26666666666666666,0.3333333333333333,30,0.30338946,0.6
imagenet_head,test,1.0,0.05714496011153246,0.3333333333333333,0.4,92,0.36792323,0.391304347826087
imagenet_head,test,1.0,0.05714496011153246,0.4,0.4666666666666667,121,0.44085437,0.5289256198347108
imagenet_head,test,1.0,0.05714496011153246,0.4666666666666667,0.5333333333333333,236,0.5018513,0.5635593220338984
imagenet_head,test,1.0,0.05714496011153246,0.5333333333333333,0.6,283,0.56663316,0.734982332155477
imagenet_head,test,1.0,0.05714496011153246,0.6,0.6666666666666666,267,0.6349987,0.7528089887640449
imagenet_head,test,1.0,0.05714496011153246,0.6666666666666666,0.7333333333333333,320,0.70023674,0.8125
imagenet_head,test,1.0,0.05714496011153246,0.7333333333333333,0.8,449,0.7693798,0.888641425389755
imagenet_head,test,1.0,0.05714496011153246,0.8,0.8666666666666667,650,0.8383129,0.9384615384615385
imagenet_head,test,1.0,0.05714496011153246,0.8666666666666667,0.9333333333333333,1356,0.9056979,0.9705014749262537
imagenet_head,test,1.0,0.05714496011153246,0.9333333333333333,1.0,4758,0.96893984,0.9962168978562421
imagenet_head,test,0.7572732742105879,0.00842427504889336,0.2,0.26666666666666666,3,0.2415014,0.3333333333333333
imagenet_head,test,0.7572732742105879,0.00842427504889336,0.26666666666666666,0.3333333333333333,11,0.29844865,0.18181818181818182
imagenet_head,test,0.7572732742105879,0.00842427504889336,0.3333333333333333,0.4,41,0.3747121,0.5121951219512195
imagenet_head,test,0.7572732742105879,0.00842427504889336,0.4,0.4666666666666667,79,0.43689746,0.4177215189873418
imagenet_head,test,0.7572732742105879,0.00842427504889336,0.4666666666666667,0.5333333333333333,137,0.50642276,0.45985401459854014
imagenet_head,test,0.7572732742105879,0.00842427504889336,0.5333333333333333,0.6,186,0.56756717,0.5698924731182796
imagenet_head,test,0.7572732742105879,0.00842427504889336,0.6,0.6666666666666666,217,0.6338865,0.7096774193548387
imagenet_head,test,0.7572732742105879,0.00842427504889336,0.6666666666666666,0.7333333333333333,206,0.7002769,0.7572815533980582
imagenet_head,test,0.7572732742105879,0.00842427504889336,0.7333333333333333,0.8,285,0.7681896,0.7789473684210526
imagenet_head,test,0.7572732742105879,0.00842427504889336,0.8,0.8666666666666667,354,0.836855,0.8587570621468926
imagenet_head,test,0.7572732742105879,0.00842427504889336,0.8666666666666667,0.9333333333333333,649,0.90373975,0.8983050847457628
imagenet_head,test,0.7572732742105879,0.00842427504889336,0.9333333333333333,1.0,6412,0.9871769,0.9893948845913911
