epoch,train_loss,train_acc,val_loss,val_acc
1,0.9592523517795638,0.7568627450980392,0.3250872761425045,0.8922222222222222
2,0.5961504380141988,0.832156862745098,0.33439058142817685,0.8955555555555555
3,0.5792951073599797,0.8356862745098039,0.3311988725968533,0.8911111111111111
4,0.4983507312863481,0.8590196078431372,0.3440663484235605,0.9022222222222223
5,0.5171444452627032,0.8547058823529412,0.3606676595790001,0.8888888888888888
6,0.4917802111424652,0.861764705882353,0.34235860869650625,0.8922222222222222
7,0.47168455924473557,0.8691176470588236,0.35813789549231945,0.88
8,0.46447815644974805,0.870686274509804,0.35006206387835037,0.8944444444444445
9,0.46541183046266144,0.8752941176470588,0.3414713018061593,0.8911111111111111
10,0.4312403302566678,0.8787254901960785,0.3473353411314181,0.8972222222222223
11,0.41785219326907513,0.8845098039215686,0.367498453023533,0.8916666666666667
12,0.4169136673504231,0.8833333333333333,0.3731192978657782,0.8955555555555555
13,0.4485466409547656,0.8796078431372549,0.36976788229412505,0.8938888888888888
14,0.4016815754537489,0.8921568627450981,0.3673232860154369,0.8972222222222223
15,0.4142368847774524,0.8871568627450981,0.3763847791031003,0.8894444444444445
