model,tag,evaluation,num_images,acc_open,acc_restricted,out_of_space_rate
convnext_tiny,in12k_ft_in1k,Stanford test (120 breeds),8580,0.929020979020979,0.9311188811188811,0.0024475524475524478
convnext_tiny,in12k_ft_in1k,Stanford test (21 breeds),1630,0.945398773006135,0.947239263803681,0.0018404907975460123
convnext_tiny,in12k_ft_in1k,Oxford dogs (21 breeds),4178,0.8834370512206797,0.8853518429870751,0.003350885591191958
efficientnet_b0,ra_in1k,Stanford test (120 breeds),8580,0.9279720279720279,0.9304195804195804,0.0030303030303030303
efficientnet_b0,ra_in1k,Stanford test (21 breeds),1630,0.947239263803681,0.9484662576687116,0.001226993865030675
efficientnet_b0,ra_in1k,Oxford dogs (21 breeds),4178,0.8647678314983246,0.8674006701771182,0.0035902345619913834
resnet50,a1_in1k,Stanford test (120 breeds),8580,0.9484848484848485,0.9504662004662005,0.0024475524475524478
resnet50,a1_in1k,Stanford test (21 breeds),1630,0.9638036809815951,0.9644171779141104,0.0006134969325153375
resnet50,a1_in1k,Oxford dogs (21 breeds),4178,0.8853518429870751,0.8872666347534706,0.003829583532790809
