epoch,train_loss,train_acc,val_loss,val_acc
1,3.6755750927270627,0.38,2.3395477951897514,0.8055555555555556
2,2.298079329471962,0.6242156862745099,1.3342369310061137,0.8311111111111111
3,1.7474414065304924,0.6681372549019607,0.9181335022714403,0.8466666666666667
4,1.5178041644189872,0.6855882352941176,0.7316511482662624,0.8577777777777778
5,1.3732413121765734,0.7009803921568627,0.5859470307164723,0.8661111111111112
6,1.284341254234314,0.711078431372549,0.5778058820300632,0.8622222222222222
7,1.2242881247576545,0.7154901960784313,0.5347106443511115,0.8727777777777778
8,1.1694381164101992,0.7234313725490196,0.5192651308576266,0.8633333333333333
9,1.1224122941260244,0.7324509803921568,0.5089726286795404,0.865
10,1.0875527818997701,0.7366666666666667,0.46155593825711144,0.8722222222222222
11,1.0652770984874051,0.7436274509803922,0.4482809966140323,0.8716666666666667
12,1.0305661642317678,0.744313725490196,0.4759745292365551,0.8727777777777778
13,1.0086716050727695,0.7520588235294118,0.4681541625989808,0.8661111111111112
14,0.9837298199709724,0.7553921568627451,0.44581633706887563,0.8633333333333333
15,0.9775525152917002,0.7509803921568627,0.4389564445614815,0.8711111111111111
